367,actions,misspell,misspell,"misspelled,misspelling,misspells"
368,actions,miss_dodge,miss,"avoid,dodge,dodgeball,evade"
369,actions/cleaning,mop,mop,"clean,wash,wipe floor"
370,actions,move,move,"movement,moving,send,slide"
371,actions,move_bus,move,movement
372,actions,move_in,move in,"arrive,relocate"
373,actions,move_in_boy,move in,"arrive,relocate"
374,actions,move_in_girl,move in,"arrive,relocate"
375,actions,mow,mow,"cut grass,cut lawn"
376,actions,need,need,"needing,needs,want"
377,actions,need2,need,"necessary,needed,needing,needs,want"
378,actions,nominate,nominate,"appoint,choose,designate,elect"
379,actions,off_switch, turn off,switch
380,actions,on_switch, turn on,switch
381,actions/cooking,open_can,open,can opener
382,actions,open_door,open door,
383,actions,open_window,open window,
384,actions,orbit,orbit,"circumnavigate,go around"
385,actions,orbit2,orbit,"circle,go around"
386,actions,orbit_moon,orbit moon,"circle,space"
387,actions,order,order,"arrange,organize,sequence,series"
389,actions,own,own,"control,have,hold,keep,owned,owner,owning,owns,possess"
390,actions,pack_suitcase,pack,"fill,load,suitcase"
391,actions,paint_verb,paint,"decorate,refurbish,renovate"
392,actions,park_bike,park bike,bike lock
393,actions,park_car,park car,parking spot
394,actions,pass,pass,"bypass,go by,overtake,passed,passes,passing"
395,actions,pass_out,pass out,",blackout,collapse,faint"
396,actions,pat,pat,"pet dog,touch"
397,actions,pave,pave,"cover,roll"
398,actions,pay,pay,"buy,compensation,give,reimburse"
399,actions,pay_bank,pay,deposit
400,actions,peddle,pedal,"cycle,ride bike"
401,actions/eating,peel_banana,peel banana,
402,actions/cooking,peel_potato,peel potato,
403,actions,perform_music,perform,"entertain,sing"
404,actions,pet,pet,pat
405,actions,pick_apple,pick apple,"collect,gather"
406,actions,pick_berry,pick berry,
408,actions,pick_flower2,pick flower,
409,actions,pick_up,pick up,"elevate,lift,raise"
410,actions,pinch,pinch,a pinch of
411,actions,pinch2,pinch,
412,actions,plant_plants,plant,
413,actions,plant_seeds,plant seeds,
414,actions,play,play,
415,actions,play_game,play game,
416,actions,pledge,pledge,"assure,promise,swear,vow"
417,actions,plug_in,plug in,"power,socket"
418,actions,plug_out,unplug,socket
419,actions,point,point,indicate
420,actions,pollute,pollute,"contaminate,exhaust"
421,actions,pop,pop,"bang,crack,explode"
422,actions,pop_balloon,pop,"balloon,burst"
423,actions/cooking,pour,pour,"dispense,empty,tip,transfer"
424,actions,pout,pout,"frown,mope,sulk"
425,actions,pray,pray,"beg,hope,wish"
426,actions,press_button,press button,"depress,push"
427,actions,press_buttons,press buttons,dial
428,actions,press_buttons_keyboard,press buttons,"key,keyboard,push,type"
430,actions,prop_up,prop up,"hold,lean,stand,support"
431,actions,prop_up_feet,prop up feet,
432,health,prop_up_head,prop up head,
433,actions,protest,protest,"against,complain,demonstration,dispute,oppose,protesters"
434,actions,pull,pull,"drag,haul,pulled,pulling,pulls,tow"
435,actions,pull_hair,pull hair,"tug,yank"
436,actions,punch,punch,"hole,pierce,prick"
437,actions,punch_in,punch in,"clock,in,timeclock"
438,actions,punch_out,punch out,"clock out,timeclock"
439,actions,push,push,"force,move,shove"
440,actions/cleaning,put_away,put away,"pack,store,tidy"
441,actions,put_down,put down,"lay,place,placed,placing,position,put,puts,putting,set"
442,actions,put_out_fire,put out fire,"douse,extinguish,firefighter"
443,actions,quit_resign,quit,"give up,leave,resign"
444,actions,race_run,race,"chase,compete,run,sprint"
445,actions,radio_play,play radio,play music
446,actions,raise,raise,"elevate,heave,hoist,lift,up"
447,actions,raise_feet,raise feet,
448,actions,raise_head,raise head,
449,actions,raise_money,raise money,"earn,increase"
450,actions,rake_leaves,rake leaves,"clean,gather,yard work"
451,actions,reach,reach,"extend,reached,reaches,reaching,stretch"
452,actions,read,read,"scan,study,Will you read a book to me?"
453,actions,read_newspaper,read,"glance,newspaper,scan,study"
454,actions,record,record,
455,actions,recycle,recycle,renewable
456,actions,relax,relax,"comfortable,nap,rest,unwind"
457,actions,remember,remember,
458,actions,remove,remove,"lid,open,release"
459,actions,rent,rent,lease
460,actions,replace,replace,
461,actions,rescue,rescue,"help,save"
462,actions,rescue2,rescue,"free,help,release,save"
463,actions,rescue_dolphin,rescue dolphin,
464,actions,research,research,"examine,investigate,learn,study,write"
465,actions,rest,rest,"nap,relax"
466,actions,return,return,",go back,reverse"
467,actions,return_book,return book,give back book
468,actions,ride,ride bike,"bicycle,bike,cycle"
470,actions,ride3,ride bike,"bicycle,bike,cycle,helmet"
471,actions,ring_bell,ring bell,sound
472,actions,ring_phone,ring ,"call,telephone"
473,actions,ring_wear,wear ring,married
474,actions/cleaning,rinse_glass,rinse glass,"clean,wash"
475,actions/grooming,rinse_mouth,rinse mouth,mouthwash
476,actions,roll,roll,"revolve,rolled,rolls,rotate,spin,turn"
477,actions,roll2,roll,"rotate,spin"
478,actions/cooking,roll3,roll,"flatten,rolled,rolling,rolling pin,rolls"
479,actions/cooking,roll4,roll,"dough,flatten,pastry,rolling pin"
480,actions,roller_skate,roller skate,skate
481,actions,roll_dice,roll dice,
482,actions,row,row,"canoe,kayak,paddle"
483,actions,row_gondola,row,"gondola,venice"
484,actions,rub,rub,pat
485,actions,run,run,"dash,exercise,hurry,jog,runner,sprint,trot"
486,actions,salute,salute,"greet,signal"
487,actions,salute2,salute,"greet,honor,respect"
488,actions,save,save,"keep,piggy bank,store"
489,actions,score,score,"judge,rate,review"
490,actions,scrape_window,scrape window,de-ice
491,actions,scream,scream,"ahh!,screech,shout,shouted,shouting,yell"
492,actions,secret_whisper,whisper,"gossip,murmur,secret"
493,actions,see,see,"glance,glimpse,look,seen,sight,spot"
494,actions,seems,seems,"appears,seem"
495,actions,sell,sell,
496,actions,sell2,sell,"exchange,trade"
497,actions,sell3,sell,"deal,market,trade,vend"
498,actions,serve,serve,
499,actions/cooking,set_table,set table,
500,actions,sew,sew,"hem,needle,stitch,thread"
501,actions,shake,shake,shook
502,actions,shake_hands,shake hands,"compromise,greet,handshake,hold,hold hands,meet,trust"
503,actions/grooming,shampoo_hair,shampoo hair,wash hair
504,actions/grooming,shampoo_hair2,shampoo hair,wash hair
505,actions,share,share,
506,actions,share2,share,"divide,split"
507,actions/cooking,sharpen_knife,sharpen knife,
508,actions,sharpen_pencil,sharpen pencil,"pencil,sharpener"
509,actions/grooming,shave_face,shave face,
510,actions/grooming,shave_head,shave head,
511,actions,shop,shop,"buy,purchase"
512,actions,shop2,shop,"buy,purchase,shopping cart"
513,actions,should,should,must
514,actions,should2,should,must
515,actions,should_be,should be,must be
516,actions,shovel_snow,shovel snow,"dig,scoop"
517,actions,shovel_snow2,shovel snow,"dig,scoop"
518,actions,show,show,"display,present,share,showed,showing,shown"
519,actions,sigh,sigh,
